listing_id,published_time,updated_time,listing_status,property_type,num_bed_room,sale_price,area_using,city,district,ward,project_name,owner_id
1662393558034_5919,0,1662393558034,200,1,3,2900000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1663497909662_442,0,1663497909662,200,1,2,3500000000,0,Hồ Chí Minh,Quận 1,Phạm Ngũ Lão,,sale_member
1663574864667_9359,0,1663574864667,200,1,3,2900000000,0,Bình Dương,Thuận An,Lái Thiêu,,1621912427978000
1480951159328_1865,0,1616751393306,200,16,0,0,0,Hồ Chí Minh,Quận 7,Bình thuận,,1616749112933000
1480951160061_7348,1472093562344,1616750685049,200,4,5,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1616749112933000
1660645808580_194,0,1660649150712,200,4,2,4700000000,0,Hồ Chí Minh,Quận 2,Thảo Điền,,1621912427978000
1480951154849_9712,1489481582410,1643349338629,700,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phong,Riverpark Residence,1616749112933000
1480951156524_177,1484024586072,1616751066414,700,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phong,Happy Valley,1616749112933000
1480951157998_1415,1483908282913,1590638255927,405,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Hưng,Sunrise City,gg-104653497964735897728
1480951158285_5757,1475574686135,1570760256781,405,1,3,0,0,Hồ Chí Minh,Quận 2,Thảo Điền,Chung cư Nguyễn Văn Hưởng,gg-113715195776897671484
1480951159494_2462,1467109487498,1570761481270,405,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phú,Riviera Point,gg-111765151447583882928
1480951159507_2865,1484213245241,1620806788661,300,1,3,0,0,Hồ Chí Minh,Quận 7,Phường Tân Phong,Happy Valley,gg-113687445825850881907
1480951161489_5211,1483949191371,1616751397918,700,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phong,Happy Valley,1616749112933000
1480951161550_9599,1484216013098,1616752122399,700,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phú,Riviera Point,1616749112933000
1480951161736_3405,1484031682551,1616751394819,300,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phú,Riverside Residence,1616749112933000
1480951161867_5231,1483783629994,1570759749928,405,1,3,0,0,Hồ Chí Minh,Quận 7,Tân Phong,Happy Valley,gg-113715195776897671484
1480951154928_759,1484556420233,1635673686846,300,1,2,0,0,Hồ Chí Minh,Bình Thạnh,Phường 22,Sài Gòn Pearl,1604201091688000
1480951154949_3473,1483761040677,1616750923449,700,1,2,0,0,Hồ Chí Minh,Quận 2,An Phú,Lexington Residence,1616749112933000
1480951155197_8554,1515489645795,1616751136172,700,1,1,2150000000,0,Hồ Chí Minh,Quận 2,An Phú,Lexington Residence,1616749112933000
1480951155920_7929,1484364845621,1590638287652,405,1,3,0,0,Hồ Chí Minh,Quận 2,An Phú,Imperia An Phú,gg-104653497964735897728
1480951156134_6892,1489373772531,1590638203495,405,1,2,3100000000,0,Hồ Chí Minh,Quận 2,An Phú,Lexington Residence,gg-108412584103386680901
1480951156553_7667,1508230363946,1590638262523,405,1,3,0,0,Hồ Chí Minh,Quận 2,An phú,Lexington Residence,gg-108412584103386680901
1480951156679_1868,1483786529426,1590638100632,405,1,3,3600000000,0,Hồ Chí Minh,Quận 2,An Phú,Imperia An Phú,gg-104653497964735897728
1480951156791_2698,1483802928857,1635673715130,300,1,2,0,0,Hồ Chí Minh,Bình Thạnh,Phường 22,The Manor,1604201091688000
1480951156899_2505,1469508212458,1643430428562,300,1,2,0,0,Hồ Chí Minh,Quận 1,Bến Nghé,Vinhomes Đồng Khởi,1616749112933000
